Median_of_median_time,Quick_sort_time,
1.39096,0.159568,
1.71389,0.158813,
1.53345,0.159198,
1.51974,0.158619,
1.72106,0.15889,
2.21731,0.160244,
1.36466,0.158401,
1.26672,0.158982,
2.37912,0.158068,
2.25283,0.158132,
2.13963,0.15857,
1.0462,0.158638,
2.29535,0.15826,
1.8638,0.15949,
1.19587,0.158834,
1.28603,0.15938,
0.92916,0.158238,
2.10241,0.159124,
1.69709,0.158888,
2.14461,0.1576,
1.73629,0.166384,
0.884424,0.158724,
1.6641,0.15904,
2.41966,0.158948,
1.50714,0.159212,
1.3715,0.158876,
2.96507,0.159476,
0.780184,0.159804,
1.99932,0.15906,
1.61526,0.158336,
0.932024,0.159588,
1.38941,0.158436,
1.55115,0.158076,
1.51312,0.159044,
1.60774,0.16642,
1.44715,0.159472,
1.9019,0.159192,
1.27818,0.1584,
1.66338,0.158632,
1.86102,0.159064,
2.27306,0.159984,
1.38274,0.158088,
1.31382,0.157864,
1.90221,0.1656,
1.25438,0.165152,
1.43539,0.158528,
1.23833,0.157904,
2.34142,0.158872,
0.935,0.158872,
1.39206,0.157672,
1.71955,0.1592,
1.62666,0.15968,
2.00422,0.158224,
1.94398,0.157272,
1.15473,0.15844,
1.74843,0.158248,
1.23442,0.157864,
1.08441,0.159072,
1.23931,0.163936,
1.21911,0.159816,
1.09875,0.159448,
1.14536,0.162392,
0.948016,0.158904,
1.29393,0.15912,
1.49885,0.158808,
1.5858,0.158208,
2.21658,0.159296,
1.94614,0.159136,
1.48802,0.159472,
2.05322,0.158448,
1.23288,0.158496,
1.46469,0.157816,
1.06407,0.157928,
2.03887,0.1586,
1.52583,0.163472,
1.49367,0.164528,
1.96205,0.159968,
1.11989,0.159168,
1.14374,0.158704,
1.39397,0.157904,
1.39243,0.158384,
2.23656,0.159232,
1.35326,0.158048,
1.57605,0.161264,
1.61614,0.15832,
2.20077,0.158272,
2.3168,0.158496,
1.2687,0.159792,
1.71005,0.1592,
1.05187,0.158448,
2.15514,0.158528,
2.27518,0.158272,
1.046,0.157696,
2.24213,0.15776,
1.8955,0.159328,
1.8253,0.159216,
1.80794,0.158304,
1.26741,0.158048,
2.56922,0.158448,
1.93029,0.158288,
1.95602,0.158864,
2.85942,0.159024,
1.65045,0.1656,
1.32168,0.15968,
1.37059,0.158464,
2.16779,0.15816,
1.73059,0.159072,
1.81341,0.158512,
1.46158,0.158768,
2.12195,0.16528,
1.32208,0.158976,
1.92493,0.165888,
1.17646,0.15856,
1.74246,0.158672,
1.62843,0.159072,
1.13339,0.159392,
1.46621,0.159296,
2.03874,0.159216,
0.8592,0.158704,
1.15397,0.158272,
1.04114,0.158384,
1.7228,0.159392,
1.7101,0.158848,
2.94254,0.16144,
1.36651,0.165312,
1.72966,0.158432,
1.44693,0.159376,
1.55979,0.158912,
1.19786,0.158432,
1.83499,0.166128,
1.34634,0.158512,
1.96186,0.158832,
1.92389,0.158256,
1.85466,0.15856,
1.47621,0.158352,
1.02816,0.15936,
2.10214,0.158624,
1.94491,0.158816,
1.22744,0.15768,
1.05083,0.15936,
2.23208,0.159056,
1.05026,0.158832,
1.65402,0.15768,
1.50203,0.165152,
2.84558,0.159152,
1.97906,0.157952,
1.652,0.158896,
1.87722,0.15968,
1.33347,0.158176,
2.0751,0.158912,
2.55837,0.157888,
2.50877,0.159744,
1.1088,0.159136,
1.53686,0.159264,
1.5561,0.160224,
1.95568,0.160256,
1.36794,0.158816,
1.4703,0.159552,
1.78666,0.158624,
1.37318,0.158208,
2.26109,0.15936,
1.85542,0.158976,
1.12829,0.158624,
1.63635,0.160224,
0.931616,0.16528,
2.35222,0.158592,
1.76541,0.159168,
0.926304,0.158752,
1.2967,0.15904,
2.31011,0.158176,
1.52768,0.166496,
2.26355,0.159744,
1.52006,0.160256,
0.853568,0.159968,
0.980544,0.160352,
1.87286,0.1592,
2.94854,0.159392,
1.41261,0.159104,
2.43645,0.16,
1.26963,0.15856,
1.03181,0.158624,
2.29254,0.1592,
1.15331,0.166624,
1.5153,0.159328,
1.5489,0.159552,
1.12378,0.159136,
1.83443,0.166592,
1.96157,0.159072,
1.29027,0.159264,
2.0945,0.159648,
1.59811,0.158848,
1.50509,0.158976,
1.48704,0.159744,
1.87507,0.1584,
1.24614,0.166688,
1.21962,0.159072,
2.32416,0.158976,
1.8728,0.159136,
2.22115,0.164384,
1.63731,0.159072,
1.16451,0.165888,
1.54051,0.159328,
1.33667,0.166048,
2.4584,0.159136,
1.55395,0.160384,
1.73117,0.162592,
1.50384,0.158336,
1.48874,0.158432,
1.59728,0.160352,
1.33696,0.160064,
1.97462,0.161376,
1.47725,0.159072,
1.26614,0.159552,
1.16176,0.15968,
1.51888,0.1656,
1.4401,0.159488,
1.7049,0.158752,
2.37392,0.159456,
2.09216,0.159616,
1.21088,0.159392,
1.532,0.159264,
2.0977,0.159264,
2.15485,0.15984,
1.11462,0.158624,
2.06614,0.15856,
0.982944,0.159712,
1.90858,0.159072,
1.09939,0.160672,
1.6536,0.160768,
1.66589,0.16368,
1.52938,0.159424,
1.76227,0.159616,
1.47603,0.166144,
1.50387,0.166016,
2.5353,0.159456,
1.18845,0.15904,
1.47011,0.159136,
1.66595,0.16624,
0.909088,0.159456,
1.73229,0.160448,
2.17584,0.166272,
1.17104,0.159392,
1.36243,0.15968,
1.95171,0.158496,
1.172,0.162176,
1.96643,0.162208,
1.06394,0.166784,
1.12525,0.158624,
1.35616,0.166784,
1.66163,0.159104,
1.68538,0.15856,
1.05046,0.158944,
1.66061,0.159008,
1.5679,0.158656,
2.02141,0.158592,
2.01677,0.162208,
1.37043,0.158464,
1.04806,0.1584,
1.45994,0.159424,
1.22707,0.15888,
2.31776,0.1592,
1.57626,0.15904,
1.74291,0.159072,
2.26963,0.159616,
1.84566,0.16144,
0.774016,0.159264,
1.23027,0.156896,
1.59542,0.159936,
1.09395,0.158848,
2.01126,0.159744,
1.19043,0.160224,
1.93005,0.160448,
0.997856,0.158688,
1.69798,0.15792,
1.57091,0.159936,
1.57958,0.15888,
1.79165,0.157824,
1.46829,0.15872,
1.25635,0.159104,
2.19622,0.159072,
1.82531,0.161632,
2.27744,0.158656,
1.28934,0.159136,
1.9769,0.15904,
0.954912,0.159264,
0.96224,0.15856,
2.05472,0.160512,
1.24077,0.1592,
1.62611,0.158912,
1.04144,0.158656,
0.900704,0.159328,
2.43014,0.15984,
1.37821,0.158688,
2.75968,0.161056,
2.06096,0.158752,
1.73078,0.166144,
1.56323,0.160512,
1.67907,0.16016,
1.05635,0.165856,
0.874848,0.158912,
1.30355,0.15872,
1.56416,0.158336,
1.22074,0.158976,
1.34054,0.158912,
1.88992,0.159104,
1.44806,0.15872,
1.1808,0.160128,
2.03098,0.158528,
0.886656,0.163072,
1.12032,0.166336,
1.50957,0.159872,
1.50835,0.1664,
1.5072,0.159488,
1.56422,0.15808,
1.26528,0.166528,
1.80096,0.158976,
1.16262,0.158464,
3.38099,0.160064,
1.71117,0.15904,
1.10854,0.159616,
0.967104,0.159488,
1.14842,0.158528,
2.20077,0.157696,
2.23238,0.159104,
1.69133,0.165952,
1.5193,0.160064,
1.33594,0.158784,
1.43469,0.165888,
1.32762,0.159616,
1.93216,0.16576,
1.56845,0.15872,
2.08019,0.15936,
1.08371,0.166912,
1.44083,0.158656,
0.867904,0.159744,
1.28486,0.159296,
1.57101,0.158848,
1.4809,0.15808,
0.796736,0.158784,
1.2352,0.15872,
1.09856,0.159808,
1.85235,0.159552,
0.918016,0.15936,
0.842368,0.158784,
0.856,0.158272,
2.1431,0.159104,
2.37434,0.160256,
1.68525,0.158592,
1.88512,0.159104,
1.01184,0.162432,
1.52653,0.15872,
1.6953,0.158976,
1.37274,0.158656,
1.22886,0.15936,
1.4087,0.160256,
2.24269,0.166528,
1.83136,0.166208,
1.30458,0.158976,
1.64934,0.159552,
2.0265,0.159104,
1.72083,0.15936,
2.58029,0.160128,
2.2167,0.158464,
1.81997,0.158784,
1.49011,0.158976,
1.13702,0.15904,
1.6512,0.15808,
1.66918,0.158848,
1.42694,0.158592,
1.6439,0.160512,
2.00806,0.158912,
1.39738,0.160128,
1.09542,0.159424,
1.78182,0.159296,
1.13094,0.158464,
1.34189,0.159424,
1.22573,0.163584,
1.48198,0.15968,
1.16371,0.159232,
1.79821,0.159232,
1.2633,0.158592,
1.18944,0.159616,
1.21005,0.159488,
1.56211,0.15872,
1.43898,0.160256,
1.32768,0.15968,
1.75008,0.159168,
1.88966,0.158528,
0.963904,0.158656,
1.30746,0.158336,
0.791808,0.1632,
2.30458,0.158656,
1.80992,0.159744,
2.32243,0.159936,
1.83789,0.158784,
1.80762,0.159104,
1.8057,0.159936,
1.17344,0.159424,
2.0649,0.15936,
0.72192,0.159808,
1.53901,0.159808,
1.07046,0.158912,
1.7968,0.158272,
2.94643,0.159104,
1.24326,0.15904,
1.84346,0.159616,
1.2777,0.159296,
1.65498,0.158976,
1.31571,0.159872,
1.44461,0.159168,
1.79443,0.158592,
1.696,0.158912,
1.11117,0.15872,
1.85498,0.159296,
2.35213,0.159232,
0.904,0.158464,
1.02688,0.16,
